ID,Z1,Z2,Z3,Z4,Z5,Z6,X,Y,X2,Y2,__X,__Y
ridge,0.0039222133345902,0.479776173830032,-49.8332672119141,6.57869092535179e-010,-0.00000000137120004239932,1,356340.28125,5021729,356340.28125,5021729,356340.28125,5021729
ridge,0.0053143072873354,0.0180013570934534,-19.6398162841797,-4.13312717384429e-011,-0.00000000229600871648472,1,355714.875,5022369.5,355714.875,5022369.5,355714.875,5022369.5
ridge,0.00567321060225368,0.143789619207382,-13.5938720703125,2.06567651872547e-010,-0.00000000143659639739724,1,355532.03125,5022583.5,355532.03125,5022583.5,355532.03125,5022583.5
ridge,0.00586281903088093,0.0220669005066156,26.0823936462402,2.27369789662646e-011,-0.00000000103036579268689,1,353982.125,5022809,353982.125,5022809,353982.125,5022809
ridge,0.0060277464799583,0.0951394364237785,35.2984085083008,-1.12537590357675e-010,-0.00000000118287002415229,1,353959.6875,5023028.5,353959.6875,5023028.5,353959.6875,5023028.5
ridge,0.0062743523158133,0.51483941078186,-6.27430725097656,-6.52375098386671e-010,-0.0000000012671428351041,1,355365.53125,5022996,355365.53125,5022996,355365.53125,5022996
ridge,0.0036425783764571,0.888014256954193,-15.0859069824219,0.0000000230970762515881,-0.0000000260098040882895,1,357353.34375,5022987.5,357353.34375,5022987.5,357353.34375,5022987.5
ridge,0.00309367547743022,0.623945415019989,-50.3779449462891,0.0000000137362015095732,-0.000000022015068879,1,357554.28125,5022945,357554.28125,5022945,357554.28125,5022945
ridge,0.00229917978867888,0.26071235537529,-80.7410354614258,0.00000000615576922768923,-0.0000000236113457674492,1,357792.1875,5022952,357792.1875,5022952,357792.1875,5022952
ridge,0.00145461363717914,0.345506638288498,89.9818954467773,0.0000000053339688221854,-0.0000000154381076811205,1,358000,5022931,358000,5022931,358000,5022931
ridge,0.00120662932749838,0.733093321323395,-30.2524108886719,2.51962672948025e-010,-3.43697958982148e-010,1,362632.65625,5023019,362632.65625,5023019,362632.65625,5023019
ridge,0.00604024808853865,0.955723106861115,44.864444732666,4.16796847035883e-010,-4.36106289969374e-010,1,353836.125,5023164,353836.125,5023164,353836.125,5023164
ridge,0.00627058790996671,0.205360263586044,31.6025714874268,1.67964975261725e-010,-8.17903966776612e-010,1,354135.5625,5023239.5,354135.5625,5023239.5,354135.5625,5023239.5
ridge,0.00652327062562108,0.177782759070396,2.31790041923523,-1.72510838947204e-010,-9.70346247797238e-010,1,355190.5,5023200.5,355190.5,5023200.5,355190.5,5023200.5
ridge,0.00553394993767142,0.204856932163239,-40.1593170166016,-0.00000000894755203262321,-0.0000000436770761780281,1,357238.875,5023233,357238.875,5023233,357238.875,5023233
ridge,0.00487649207934737,0.0897522270679474,-54.7887649536133,0.00000000686670986738136,-0.0000000765074048558745,1,357376.9375,5023167.5,357376.9375,5023167.5,357376.9375,5023167.5
ridge,0.0031376916449517,0.574724614620209,-79.8451080322266,0.0000000270607536378975,-0.0000000470847290046095,1,357583.3125,5023107,357583.3125,5023107,357583.3125,5023107
ridge,0.000922786770388484,0.40446737408638,-36.8408660888672,4.52796022898383e-010,-0.00000000111948716963184,1,374355.03125,5023166.5,374355.03125,5023166.5,374355.03125,5023166.5
ridge,0.00675404723733664,0.804082095623016,5.57153177261353,6.37816799375912e-010,-7.93223486894590e-010,1,355116.6875,5023408,355116.6875,5023408,355116.6875,5023408
ridge,0.00582863111048937,0.595968008041382,76.4283218383789,0.000000016632842658737,-0.0000000279089533705701,1,356776.46875,5023497.5,356776.46875,5023497.5,356776.46875,5023497.5
ridge,0.00651785358786583,0.127935826778412,-9.35397338867188,0.00000000675721700815757,-0.0000000528172350300338,1,357165.34375,5023394.5,357165.34375,5023394.5,357165.34375,5023394.5
ridge,0.00117709743790329,0.349396288394928,-23.8052062988281,2.12975082014566e-010,-6.09551631391980e-010,1,362453.625,5023423.5,362453.625,5023423.5,362453.625,5023423.5
ridge,0.00152839708607644,0.107045695185661,-40.1961364746094,7.77962416709244e-011,-7.26757320990146e-010,1,372675.96875,5023464,372675.96875,5023464,372675.96875,5023464
ridge,0.00105772470124066,0.0748193934559822,-34.0093994140625,6.56232290729974e-011,-8.77088457418296e-010,1,374204.375,5023403,374204.375,5023403,374204.375,5023403
ridge,0.0063202204182744,0.561396718025208,48.5913047790527,3.20664134134674e-010,-5.71189873177502e-010,1,353788.0625,5023613.5,353788.0625,5023613.5,353788.0625,5023613.5
ridge,0.00661214021965861,0.326319605112076,33.0593490600586,2.40941683271600e-010,-7.38361038976620e-010,1,354194.40625,5023603.5,354194.40625,5023603.5,354194.40625,5023603.5
ridge,0.00692951073870063,0.128949865698814,20.6947383880615,-1.38669076221731e-010,-0.00000000107537201365915,1,354726.9375,5023627.5,354726.9375,5023627.5,354726.9375,5023627.5
ridge,0.00697850715368986,0.00962905772030354,11.5337648391724,6.34148289435643e-012,-6.58577747891798e-010,1,354927.375,5023615,354927.375,5023615,354927.375,5023615
ridge,0.00700920587405562,0.113110780715942,6.26123285293579,-8.17231005090235e-011,-7.22504944761226e-010,1,355105.53125,5023610.5,355105.53125,5023610.5,355105.53125,5023610.5
ridge,0.0075386818498373,0.266637533903122,26.4346256256104,-0.0000000161848863200476,-0.0000000606999535079922,1,357142.96875,5023628.5,357142.96875,5023628.5,357142.96875,5023628.5
ridge,0.00117857742588967,0.458955049514771,-25.0373840332031,2.72147998581218e-010,-5.92973115054463e-010,1,362376.6875,5023589,362376.6875,5023589,362376.6875,5023589
