ID,Z1,Z2,Z3,Z4,Z5,Z6,X,Y,X2,Y2,__X,__Y,Line
ridge,0.00217690947466,0.405999690294,-61.6523284912,4.52906906423e-10,-1.11553510873e-09,1,360644.625,5024882.5,360644.625,5024882.5,360644.625,5024882.5,7
ridge,0.00202317233197,0.348151355982,-60.1739578247,3.89291737735e-10,-1.11816811366e-09,1,360789.625,5024782.0,360789.625,5024782.0,360789.625,5024782.0,7
ridge,0.00187368958723,0.636057198048,-67.9252243042,5.50284096068e-10,-8.65148785945e-10,1,360999.96875,5024800.0,360999.96875,5024800.0,360999.96875,5024800.0,7
ridge,0.00174413213972,0.402738004923,-66.4987640381,3.43305300854e-10,-8.52428350129e-10,1,361158.40625,5024704.5,361158.40625,5024704.5,361158.40625,5024704.5,7
ridge,0.00196534418501,0.248967289925,3.09441971779,2.46389852965e-10,-9.8964747508e-10,1,371127.09375,5024404.0,371127.09375,5024404.0,371127.09375,5024404.0,8
ridge,0.00203120964579,0.162271246314,-2.50024414062,2.15260143044e-10,-1.32654520701e-09,1,371166.84375,5024598.5,371166.84375,5024598.5,371166.84375,5024598.5,8
ridge,0.00210694409907,0.21043330431,-2.8776550293,3.41562778061e-10,-1.62314028884e-09,1,371169.21875,5024798.5,371169.21875,5024798.5,371169.21875,5024798.5,8
ridge,0.00219923001714,0.167156204581,-2.22048950195,3.52192663922e-10,-2.10696726732e-09,1,371164.125,5024998.5,371164.125,5024998.5,371164.125,5024998.5,8
ridge,0.00230924761854,0.202229306102,-12.7388763428,6.32224494979e-10,-3.12627523869e-09,1,371175.3125,5025194.5,371175.3125,5025194.5,371175.3125,5025194.5,8
ridge,0.00245599867776,0.126801908016,10.7732667923,4.33687752377e-10,-3.42019879085e-09,1,371044.1875,5025391.5,371044.1875,5025391.5,371044.1875,5025391.5,8
ridge,0.00267885322683,0.208183407784,6.97666168213,1.80881087886e-09,-8.68854499458e-09,1,371042.5625,5025595.0,371042.5625,5025595.0,371042.5625,5025595.0,8
ridge,0.0030205748044,0.0782094597816,-5.20684814453,1.44494016752e-09,-1.84752604326e-08,1,371022.78125,5025802.0,371022.78125,5025802.0,371022.78125,5025802.0,8
ridge,0.0033765824046,0.258717775345,-20.6033477783,-7.20478965377e-09,-2.78480669635e-08,1,370988.71875,5025996.0,370988.71875,5025996.0,370988.71875,5025996.0,8
ridge,0.00328321475536,0.0499473437667,-6.49761962891,-1.28476163042e-09,-2.57223220501e-08,1,370950.59375,5026194.5,370950.59375,5026194.5,370950.59375,5026194.5,8
ridge,0.00301767024212,0.0378609001637,5.42762804031,-6.72497613152e-10,-1.77623249442e-08,1,370918.96875,5026407.5,370918.96875,5026407.5,370918.96875,5026407.5,8
ridge,0.00272335740738,0.618653953075,-25.7877807617,4.01124866656e-09,-6.48383258195e-09,1,370768.0625,5026584.5,370768.0625,5026584.5,370768.0625,5026584.5,8
ridge,0.00141452962998,0.263197958469,16.8190593719,-6.29758301063e-10,-2.39271735758e-09,1,374104.6875,5025029.0,374104.6875,5025029.0,374104.6875,5025029.0,9
ridge,0.00131145305932,0.0203997436911,42.9691352844,-6.0678906344e-11,-2.97449354036e-09,1,374307.71875,5025086.0,374307.71875,5025086.0,374307.71875,5025086.0,9
ridge,0.00111906137317,0.610393941402,72.7690963745,1.67783553717e-09,-2.74877498541e-09,1,374579.09375,5025067.5,374579.09375,5025067.5,374579.09375,5025067.5,9
ridge,0.000983428792097,0.475970625877,-86.228477478,1.4125092207e-09,-2.9676394675e-09,1,374800.03125,5025000.5,374800.03125,5025000.5,374800.03125,5025000.5,9
ridge,0.000905459572095,0.177845418453,-70.3333282471,5.49417289442e-10,-3.08929681836e-09,1,374978.125,5024939.0,374978.125,5024939.0,374978.125,5024939.0,9
ridge,0.000840993481688,0.78456556797,-48.9668273926,1.43066503089e-09,-1.82351234113e-09,1,375166.4375,5024761.5,375166.4375,5024761.5,375166.4375,5024761.5,9
ridge,0.00291465595365,0.207269713283,-38.3471374512,-7.54264428693e-10,-3.63904795186e-09,1,369958.65625,5027967.5,369958.65625,5027967.5,369958.65625,5027967.5,10
ridge,0.00289218057878,0.178330346942,-25.3044128418,5.96936833297e-10,-3.3473654959e-09,1,370043.78125,5027820.5,370043.78125,5027820.5,370043.78125,5027820.5,10
ridge,0.0028905919753,0.233998790383,-29.4086456299,4.77729855675e-10,-2.04159111838e-09,1,370194.3125,5027597.0,370194.3125,5027597.0,370194.3125,5027597.0,10
